"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005.6",6.74156736441195,-2.86597933692682,0.344208874999632,-8.32627960836244,8.34226327320606e-17,3.95349083421882e-15
"ENSG00000002745.13",36.5139294975192,-2.75298400964588,0.233007428368375,-11.8150053366261,3.26528181365425e-32,9.5571579393731e-30
"ENSG00000002746.15",55.5011115440422,-1.20599906967952,0.276828827223782,-4.3564793514247,1.32171155322952e-05,7.19112129536919e-05
"ENSG00000002822.15",768.654903468208,1.12025943693674,0.171203935262609,6.54342106808686,6.01272261811689e-11,1.07948499980205e-09
"ENSG00000003436.16",883.333671263901,-1.55192621499383,0.150946641607232,-10.2812901199351,8.55743599103887e-25,1.23924792564306e-22
"ENSG00000004846.16",3399.67399603523,1.33178187894498,0.290246503228817,4.58845107220831,4.46546937327503e-06,2.75157654695414e-05
"ENSG00000005001.10",47.6966632721506,-1.24766352638302,0.304059065582824,-4.10335907594627,4.07194520923844e-05,0.000196263698001123
"ENSG00000005102.14",258.638254212182,-1.70687054023381,0.208808461095369,-8.17433609385319,2.97499453425493e-16,1.28798669617399e-14
"ENSG00000005108.16",209.32936203966,-2.08591108501051,0.162929435742031,-12.8025428647109,1.58669090566787e-37,8.45462146427794e-35
"ENSG00000005421.9",3.82708207645685,-1.43104686427161,0.250282307639041,-5.71773082073175,1.07955976509662e-08,1.23062706958162e-07
"ENSG00000005961.19",44.1481697761648,-1.23423859071612,0.170665690675503,-7.2319080995773,4.76254459235558e-13,1.25517361032012e-11
"ENSG00000005981.13",460.96335031276,-1.81404539053928,0.343507126713065,-5.28095416213759,1.28512842501373e-07,1.14202496472997e-06
"ENSG00000006016.11",237.589819459019,-2.37182259112827,0.230863961317967,-10.273680558836,9.26028454446559e-25,1.33637481332319e-22
"ENSG00000006071.15",8.68530697204718,-1.66398770355242,0.300049450511705,-5.54571155092819,2.92761122886906e-08,3.01107096991477e-07
"ENSG00000006128.12",5.27995275022007,-3.37314327402605,0.432602462389393,-7.79732795646878,6.323175656289e-15,2.21215342278353e-13
"ENSG00000006377.11",112.05803077122,-2.06081064522854,0.257707801114009,-7.99669484711036,1.27803455647468e-15,5.03008259812506e-14
"ENSG00000006606.9",14.9011382289215,-1.12569903239136,0.192646729790786,-5.84333320173079,5.11665287063952e-09,6.23997437234506e-08
"ENSG00000006611.17",7.17247336687429,-2.53246433638545,0.405812560119066,-6.24047795771137,4.36235867871255e-10,6.65351748273949e-09
"ENSG00000006740.17",79.6457119315278,-1.10336498080049,0.129244454952429,-8.53703921925781,1.37704824899005e-17,7.45219782871412e-16
"ENSG00000007001.13",3.50429239807634,-1.00995812946117,0.199501631328683,-5.06240536849168,4.13999575694998e-07,3.28183298970732e-06
"ENSG00000007038.11",386.87404848656,-1.34922746454941,0.346167581931208,-3.89761356919186,9.71452682012279e-05,0.000424424643853614
"ENSG00000007129.18",121.030537249312,-1.09237917249243,0.179329702245944,-6.09145701359761,1.11887631365393e-09,1.55840272614224e-08
"ENSG00000007174.18",429.047903155742,-1.33284208364025,0.310135916320648,-4.29760635095948,1.7265242898642e-05,9.13995701634646e-05
"ENSG00000008196.13",436.899049324682,-2.01170125046924,0.42713196339092,-4.70978859671079,2.47973861782078e-06,1.62457276850358e-05
"ENSG00000009694.13",103.360911229846,-1.93710793300147,0.265897135320495,-7.28517789658249,3.212461170527e-13,8.62508470086841e-12
"ENSG00000009790.15",477.53039047129,-1.08396964403936,0.200153213757938,-5.41569942189533,6.10495853794685e-08,5.83565516913861e-07
"ENSG00000009950.16",62.1658965048591,-1.63250728050556,0.22393568535186,-7.29007204876914,3.09789311103609e-13,8.34289746942318e-12
"ENSG00000010282.15",576.307034874383,1.30589885160524,0.403541206387488,3.236097902605,0.00121175815543912,0.00391200034615199
"ENSG00000010319.7",474.30891776813,-1.19482038926814,0.144300701124777,-8.28007334652498,1.23099437311615e-16,5.67842265654312e-15
"ENSG00000010438.17",56.7892693211651,-2.25526349125393,0.375852734651292,-6.00039133238264,1.96842548920696e-09,2.60398174533316e-08
"ENSG00000011028.14",5185.16613564529,-1.87488520434196,0.168434053667539,-11.1312716372823,8.83657908316825e-29,1.91284322840958e-26
"ENSG00000011083.9",4.46411917827803,-1.17775271053758,0.218701339040461,-5.38521033160974,7.23599814034936e-08,6.80566994137135e-07
"ENSG00000011201.12",315.170468168729,-1.05415666928703,0.188179701816459,-5.60186172637899,2.12061695661178e-08,2.24610300587918e-07
"ENSG00000011422.12",3638.7138295374,-1.13426559755668,0.170535388813181,-6.65120363257421,2.90705740944265e-11,5.52208044109942e-10
